name,lon,lat,population,place
Краснодар,38.9772396,45.0351532,1154885.0,city
Славянск-на-Кубани,38.1244609,45.2590875,61449.0,town
Темрюк,37.3658235,45.2823609,39164.0,town
Анапа,37.316887,44.894272,84804.0,town
Приморско-Ахтарск,38.1712168,46.0490992,30465.0,town
Ейск,38.2747987,46.7112094,82534.0,town
Сочи,39.723109,43.5854823,446599.0,city
Геленджик,38.0766832,44.5609447,80534.0,town
Кабардинка,37.9395292,44.6515718,7550.0,town
Горячий Ключ,39.1363613,44.6342653,34585.0,town
Туапсе,39.0718875,44.0984747,60089.0,town
Новороссийск,37.7690711,44.7239578,261973.0,city
Майкоп,40.104053,44.6062079,139687.0,city
Армавир,41.1294061,44.9993585,187215.0,city
Тимашёвск,38.9357743,45.6129685,52641.0,town
Ялта,37.2776416,46.9589448,5321.0,town
Бердянськ,36.7887623,46.755678,116450.0,city
Павловская,39.783,46.1352,,town
Витязево,37.2607195,44.9897066,7936.0,town
Сальск,41.541008,46.476669,147530.0,town
Джубга,38.7043664,44.3170538,7024.0,town
Дагомыс,39.6544373,43.6590048,17841.0,town
Усть-Лабинск,39.6901178,45.2094926,42062.0,town
Васюринская,39.4200463,45.1183262,13339.0,town
Воронежская,39.5670828,45.2120476,8562.0,town
Пластуновская,39.2662799,45.2962422,10264.0,town
Платнировская,39.3903857,45.391981,12004.0,town
Елизаветинская,38.7928963,45.0480573,24755.0,town
Новомышастовская,38.5795212,45.1987319,10032.0,town
Динская,39.2249757,45.2168713,34848.0,town
Белореченск,39.8712943,44.7614149,52322.0,town
Выселки,39.6574237,45.5806221,19426.0,town
Яблоновский,38.9382841,44.9864341,32039.0,town
Энем,38.9071424,44.9230727,19091.0,town
Афипский,38.8426821,44.9040435,19956.0,town
Северская,38.6781253,44.853421,24867.0,town
Ильский,38.5608255,44.8458544,24831.0,town
Крымск,37.9880177,44.9295889,54756.0,town
Курганинск,40.5894674,44.8851635,48194.0,town
Калининская,38.6598137,45.4856626,13391.0,town
Брюховецкая,39.0006977,45.8006933,22024.0,town
Переясловская,39.0218473,45.8448169,7620.0,town
Каневская,38.9721929,46.0845999,41721.0,town
Стародеревянковская,38.9713729,46.1277738,13482.0,town
Варениковская,37.638737,45.121292,14881.0,town
Старотитаровская,37.1480059,45.2188185,12164.0,town
Тбилисская,40.1898342,45.3635681,25317.0,town
Ладожская,39.9268511,45.3076593,14828.0,town
Медвёдовская,39.0167858,45.4525812,16793.0,town
Холмская,38.3950178,44.8432658,17585.0,town
Ахтырский,38.2941737,44.8559341,20863.0,town
Абинск,38.1578189,44.8649528,36986.0,town
Старощербиновская,38.6624971,46.6284506,18010.0,town
Новотитаровская,38.9712606,45.2360889,24754.0,town
Апшеронск,39.733173,44.4674401,40244.0,town
Тихорецк,40.128124,45.854679,54582.0,town
Адыгейск,39.1909625,44.8833775,12689.0,town
Роговская,38.739555,45.734535,7864.0,town
Новопокровская,40.707203,45.953815,19684.0,town
Белая Глина,40.8739482,46.0778137,17320.0,town
Архангельская,40.2796117,45.6725524,8714.0,town
Нижнебаканская,37.8608578,44.8646355,8277.0,town
Анапская,37.3832216,44.9002856,16107.0,town
Псебай,40.7902989,44.1092655,10613.0,town
Зеленчукская,41.5853611,43.8549752,21025.0,town
Сторожевая,41.4534086,43.888099,9952.0,town
Преградная,41.1917906,43.9528755,6566.0,town
Лабинск,40.7242185,44.6347953,60971.0,town
Мостовской,40.7899446,44.4138041,25006.0,town
Тлюстенхабль,39.0891847,44.9811,5668.0,town
Архипо-Осиповка,38.533611,44.3703184,7853.0,town
Тульский,40.1762144,44.5093616,10825.0,town
Ханская,39.9534608,44.6740242,11549.0,town
Хакуринохабль,40.2291119,45.020114,4018.0,town
Новомихайловский,38.8447977,44.2533593,10792.0,town
Нефтегорск,39.7034985,44.3555651,5188.0,town
Самарское,39.690975,46.937504,10530.0,town
Песчанокопское,41.084557,46.184349,11300.0,town
Крыловская,39.962914,46.321865,13621.0,town
Ленинградская,39.389554,46.3212449,36940.0,town
Новоминская,38.955532,46.317478,11595.0,town
Егорлыкская,40.6552981,46.5624322,17262.0,town
Кущёвская,39.6273712,46.5650084,30200.0,town
Целина,41.028214,46.533634,11092.0,town
Староминская,39.0625056,46.5359488,29809.0,town
Михайловская,40.5999124,44.990738,8245.0,town
Зерноград,40.316089,46.8509244,24657.0,town
Пролетарск,41.724079,46.700161,18983.0,town
Красногвардейское,41.514591,45.840508,15997.0,town
Фастовецкая,40.154659,45.917324,8573.0,town
Новоалександровск,41.2198866,45.4952532,26894.0,town
Казанская,40.4406018,45.4074844,10991.0,town
Изобильный,41.7121154,45.3740796,38263.0,town
Кавказская,40.6697566,45.4393405,11164.0,town
Петровская,37.956711,45.430317,13554.0,town
Новокубанск,41.0366896,45.1083184,35251.0,town
Гулькевичи,40.6962256,45.3565119,34347.0,town
Кошехабль,40.4963631,44.8964998,7183.0,town
Советская,41.1711179,44.7836633,9021.0,town
Понежукай,39.3828521,44.8876896,3424.0,town
Тахтамукай,38.994718,44.9212862,5413.0,town
Гиагинская,40.0564982,44.8755853,13954.0,town
Тамань,36.7191326,45.2158646,10827.0,town
Марьянская,38.6367903,45.0991226,10643.0,town
Октябрьская,39.8102996,46.2837923,11252.0,town
Красносельский,40.598473,45.3934779,7676.0,town
Успенское,41.3850485,44.8346548,12409.0,town
Коноково,41.325343,44.8617355,7880.0,town
Солнечнодольск,41.4934626,45.2975995,11675.0,town
Черноморский,38.4944065,44.849996,8512.0,town
Медногорский,41.185108,43.9161378,5478.0,town
Родниковская,40.6579706,44.7685255,8346.0,town
Теберда,41.7436988,43.4410989,8709.0,town
Отрадная,41.5263169,44.3975687,23204.0,town
Гагра,40.2582275,43.2964532,15700.0,town
Кропоткин,40.5750274,45.4344413,79795.0,town
Кореновск,39.4487565,45.4635863,41828.0,town
Старокорсунская,39.3130266,45.0506551,12238.0,town
Хадыженск,39.5369484,44.4231032,22430.0,town
Гирей,40.6581862,45.4024641,6441.0,town
Владимирская,40.8043345,44.5446631,7217.0,town
Старомышастовская,39.0729692,45.3419471,10610.0,town
Гостагаевская,37.502266,45.024044,9772.0,town
Нововеличковская,38.8377083,45.2787805,9169.0,town
Ивановская,38.4653294,45.2672191,9473.0,town
Старая Станица,41.1490284,45.0143064,7612.0,town
Красная Поляна,40.2069574,43.6779574,9165.0,town
Полтавская,38.2115057,45.366794,26490.0,town
Сириус,39.9545377,43.4062071,,town
Гигант,41.3410241,46.5060542,10249.0,town
Керчь,36.4937563,45.3040221,151996.0,city
