name,lon,lat,population,place
Тверь,35.9208284,56.858675,414756.0,city
Рязань,39.7425039,54.6295687,523203.0,city
Дубна,37.1623696,56.7362705,75176.0,town
Конаково,36.779,56.7126,40617.0,town
Клин,36.7346463,56.3353282,79249.0,town
Юхнов,35.2264393,54.7415766,6292.0,town
Медынь,35.857,54.969,7713.0,town
Обнинск,36.611913,55.0951738,116179.0,city
Балабаново,36.6575564,55.1783579,25505.0,town
Переславль-Залесский,38.8462714,56.7367178,40028.0,town
Дмитров,37.5200723,56.3450695,65716.0,town
Талдом,37.528016,56.730941,13258.0,town
Александров,38.7272894,56.39763,59328.0,town
Кольчугино,39.3759931,56.2939784,43543.0,town
Волоколамск,35.9583358,56.0360129,21212.0,town
Долгопрудный,37.5142417,55.9341491,117778.0,city
Химки,37.4396994,55.8917293,232066.0,city
Кимры,37.3556968,56.8734395,46771.0,town
Павловский Посад,38.6507838,55.7813357,65800.0,town
Электросталь,38.4449485,55.784515,158222.0,city
Ногинск,38.4411898,55.8553511,103063.0,city
Королёв,37.8150443,55.9190049,225299.0,city
Люберцы,37.89377,55.6783142,208397.0,city
Коломна,38.7670121,55.0938743,138693.0,city
Одинцово,37.2668096,55.678223,141429.0,city
Серпухов,37.4195533,54.9155247,126728.0,city
Орехово-Зуево,38.9810423,55.8062175,120184.0,city
Сергиев Посад,38.1359898,56.3153284,106007.0,city
Жуковский,38.1199863,55.5972801,107558.0,city
Калуга,36.2598115,54.5101087,333954.0,city
Марусино,37.9751721,55.6938485,9206.0,town
Ликино-Дулёво,38.9569091,55.7043101,30345.0,town
Егорьевск,39.0356223,55.3829765,71285.0,town
Зеленоград,37.214241,55.991971,223902.0,city
Голицыно,36.9887625,55.6149602,17301.0,town
Можайск,36.0213092,55.506478,30513.0,town
Тучково,36.4662973,55.6014428,18144.0,town
Кубинка,36.6952802,55.5755486,21017.0,town
Звенигород,36.8585382,55.7293613,19384.0,town
Большие Вязёмы,37.0110986,55.6321572,12487.0,town
Боровск,36.4827133,55.2072635,11418.0,town
Красногорск,37.3196942,55.8204707,175812.0,city
Нахабино,37.1770987,55.8394789,39913.0,town
Снегири,37.0391707,55.8852215,5468.0,town
Истра,36.8595482,55.9145993,34995.0,town
Бронницы,38.2591,55.422,22643.0,town
Хотьково,37.9780219,56.2516797,21687.0,town
Шаховская,35.5102036,56.031464,10704.0,town
Щербинка,37.5645434,55.5013842,32321.0,town
Домодедово,37.7680693,55.4368213,135070.0,city
Видное,37.7087142,55.5571496,106222.0,city
Раменское,38.2282099,55.5709361,106264.0,city
Монино,38.1967476,55.841371,21023.0,town
Старая Купавна,38.1774172,55.8070323,21937.0,town
Реутов,37.856555,55.7622453,112070.0,city
Электрогорск,38.7816503,55.8833393,23028.0,town
Дрезна,38.8491341,55.7448093,11831.0,town
Шатура,39.5437584,55.578403,33308.0,town
Петушки,39.4599489,55.9310313,13382.0,town
Покров,39.1772776,55.919601,17308.0,town
Фряново,38.4454114,56.1345496,11182.0,town
Черноголовка,38.3835224,56.0061165,21925.0,town
Софрино,37.9305867,56.137427,15326.0,town
Красноармейск,38.1457655,56.1210895,26594.0,town
Запрудня,37.4323,56.561,12651.0,town
Вербилки,37.6003039,56.5268495,7019.0,town
Яхрома,37.4838441,56.289936,13768.0,town
Руза,36.1946992,55.6998907,13419.0,town
Верея,36.185145,55.343238,4910.0,town
Ступино,38.0772589,54.886598,66463.0,town
Кашира,38.1505119,54.837449,39929.0,town
Пущино,37.6139685,54.8347213,21226.0,town
Ясногорск,37.693329,54.4792708,15872.0,town
Озёры,38.5598853,54.854209,25891.0,town
Зарайск,38.8818137,54.7585694,23951.0,town
Белоомут,39.339613,54.944246,6266.0,town
Краснозаводск,38.244339,56.440507,13515.0,town
Лотошино,35.6413298,56.2269944,5282.0,town
Пушкино,37.8461892,56.0104274,108253.0,city
Деденево,37.520368,56.242253,6513.0,town
Пересвет,38.1736347,56.4158101,13950.0,town
Электроугли,38.2228192,55.7184467,20652.0,town
Лосино-Петровский,38.2032701,55.8705593,24726.0,town
Ивантеевка,37.9087456,55.9752169,69265.0,town
Дзержинский,37.8496653,55.6309186,57434.0,town
Лыткарино,37.9080217,55.5822477,56360.0,town
Кондрово,35.9301213,54.8069199,15405.0,town
Внуково,37.300255,55.611698,,town
Спас-Клепики,40.176037,55.130867,5411.0,town
Малаховка,38.0042385,55.6452616,25606.0,town
Родники,38.0628479,55.6524418,5300.0,town
Балакирево,38.8419,56.5072,9294.0,town
Красково,37.9798073,55.6587214,23386.0,town
Белоусово,36.6613397,55.089725,8726.0,town
Жуков,36.7489,55.0338,12505.0,town
Струнино,38.586,56.374,13281.0,town
Наро-Фоминск,36.723507,55.3842784,62268.0,town
Томилино,37.9464009,55.6533898,30280.0,town
Чехов,37.4545328,55.1426603,69028.0,town
Таруса,37.1815538,54.7293536,9353.0,town
