name,lon,lat,population,place
Новосибирск,82.922689,55.028831,1637266.0,city
Чик,82.442702,54.994406,5166.0,town
Краснообск,82.990586,54.921108,26241.0,town
Татарск,75.962196,55.216961,23523.0,town
Ордынское,81.904022,54.366676,9874.0,town
Бердск,83.106809,54.75795,101987.0,city
Краснозёрское,79.241709,53.977298,9114.0,town
Кочки,80.487846,54.334766,3972.0,town
Сузун,82.316231,53.783924,15389.0,town
Черепаново,83.370468,54.226101,19439.0,town
Линёво,83.379074,54.456459,18051.0,town
Искитим,83.303568,54.642627,56411.0,town
Барабинск,78.343058,55.350616,28786.0,town
Каргат,80.282825,55.19299,9163.0,town
Чулым,80.970459,55.09,11144.0,town
Карасук,78.045295,53.730973,26673.0,town
Криводановка,82.644006,55.085901,10051.0,town
Здвинск,78.667595,54.703968,4986.0,town
Маслянино,84.21067,54.345501,12924.0,town
Болотное,84.388557,55.671571,15460.0,town
Купино,77.29625,54.364404,13708.0,town
Чаны,76.759605,55.308064,8208.0,town
Убинское,79.679375,55.306721,5841.0,town
Коченёво,82.207718,55.021442,17180.0,town
Чистоозёрное,76.582344,54.712204,5415.0,town
Обь,82.693395,54.995134,30686.0,town
Баган,77.671878,54.096873,5510.0,town
Довольное,79.667091,54.495785,6774.0,town
Мошково,83.611855,55.304806,9572.0,town
Тогучин,84.402458,55.23769,21063.0,town
Горный,83.878761,55.118286,9014.0,town
Северное,78.370954,56.351241,4988.0,town
Усть-Тарка,75.706017,55.563934,3819.0,town
Венгерово,76.739029,55.681034,6616.0,town
Кыштовка,76.624588,56.55957,5282.0,town
Куйбышев,78.322229,55.445426,43796.0,town
Кольцово,83.187139,54.936774,20873.0,town
Колывань,82.743346,55.306879,12585.0,town
