cell_code,weight
0,3.3512227780259506e-07
1,3.40861209047513e-07
2,3.488363636124094e-07
3,3.567712424913732e-07
4,3.6465367763071526e-07
5,3.724712848816574e-07
6,3.8021149498559876e-07
7,3.878615861986674e-07
8,3.9540871844971507e-07
9,4.0283996891326194e-07
10,4.101423688677606e-07
11,4.1730294169718465e-07
12,4.2430874188377343e-07
13,4.311468948295319e-07
14,4.3780463733441237e-07
15,4.4426935855152273e-07
16,4.5052864123144084e-07
17,4.56570303062161e-07
18,4.6238243790585477e-07
19,4.6795345672962205e-07
20,4.732721280254971e-07
21,4.783276175130738e-07
22,4.831095269189782e-07
23,4.876079316289018e-07
24,4.918134170108927e-07
25,4.957171132136679e-07
26,4.993107282491683e-07
27,5.025865791765302e-07
28,5.0553762121317e-07
29,5.081574746090261e-07
30,5.104404491312815e-07
31,5.123815660196137e-07
32,5.139765772856237e-07
33,5.152219822448525e-07
34,5.161150411853187e-07
35,5.166537860929128e-07
36,5.168370283708718e-07
37,5.16664363508134e-07
38,5.161361726691599e-07
39,5.152536211958468e-07
40,5.140186540303909e-07
41,5.124339880859362e-07
42,5.105031016097096e-07
43,5.082302206009054e-07
44,5.056203023624805e-07
45,5.026790162824486e-07
46,4.994127219558264e-07
47,4.958284447731454e-07
48,4.919338491150997e-07
49,4.877372093056377e-07
50,4.832473784871421e-07
51,4.784737555916918e-07
52,4.7342625059109646e-07
53,4.681152482160578e-07
54,4.6255157034078957e-07
55,4.567464372341349e-07
56,4.5071142788134565e-07
57,4.444584395825478e-07
58,4.379996470340889e-07
59,4.3134746109799463e-07
60,4.245144874621945e-07
61,4.175134853904971e-07
62,4.103573267561566e-07
63,4.030589555467573e-07
64,3.956313480207452e-07
65,3.8808747368763974e-07
66,3.8044025727468163e-07
67,3.727025418326198e-07
68,3.648870531224831e-07
69,3.570063654138369e-07
70,3.4907286881305964e-07
71,3.4109873822786725e-07
72,3.330959040617359e-07
73,3.250760247190412e-07
74,3.170504609889427e-07
75,3.090302523631297e-07
76,3.0102609532988583e-07
77,2.930483236744073e-07
78,2.851068908031131e-07
79,2.7721135409782306e-07
80,2.6937086129438485e-07
81,2.6159413886935685e-07
82,2.5388948240817896e-07
83,2.4626474891851554e-07
84,2.387273510434834e-07
85,2.3128425312121813e-07
86,2.2394196902958943e-07
87,2.1670656174811226e-07
88,2.0958364456302027e-07
89,2.0257838383616595e-07
90,1.9569550325387915e-07
91,1.8893928946814647e-07
92,1.823135990394319e-07
93,1.7582186658813766e-07
94,1.6946711406011642e-07
95,1.6325196101068035e-07
96,1.5717863581125963e-07
97,1.512489876831754e-07
98,1.4546449946384932e-07
99,1.3982630101217142e-07
100,1.343351831616381e-07
101,1.2899161213219012e-07
102,1.2379574431439518e-07
103,1.1874744134271138e-07
104,1.1384628537794086e-07
105,1.0909159452264358e-07
106,1.044824382971548e-07
107,1.0001765310791725e-07
108,9.569585764403518e-08
109,9.151546814227111e-08
110,8.74747134650834e-08
111,8.357164994071605e-08
112,7.980417591876302e-08
113,7.617004599902213e-08
114,7.266688489577973e-08
115,6.929220090392869e-08
116,6.604339893746926e-08
117,6.291779311497065e-08
118,5.991261887046931e-08
119,5.702504457201009e-08
120,5.4252182633607287e-08
121,5.1591100109802086e-08
122,4.903882876518903e-08
123,4.659237461430395e-08
124,4.4248726930086334e-08
125,4.200486672174279e-08
126,3.9857774685254226e-08
127,3.7804438631996884e-08
128,3.58418604029562e-08
129,3.396706227784684e-08
130,3.217709289008102e-08
131,3.0469032659980845e-08
132,2.883999875989905e-08
133,2.7287149626011356e-08
134,2.5807689032475775e-08
135,2.4398869744434358e-08
136,2.305799676695548e-08
137,2.1782430207507605e-08
138,2.0569587769923735e-08
139,1.9416946897992402e-08
140,1.8322046587060578e-08
141,1.7282488881887462e-08
142,1.6295940079044764e-08
143,1.5360131651937435e-08
144,1.4472860916253208e-08
145,1.3631991453427672e-08
146,1.2835453309220552e-08
147,1.2081242984162752e-08
148,1.1367423232125709e-08
149,1.0692122682720566e-08
150,1.0053535302764263e-08
151,9.449919711375783e-09
152,8.879598362745033e-09
153,8.340956609969526e-09
154,7.832441662714085e-09
155,7.352561450868759e-09
156,6.8998834056739724e-09
157,6.473033169204186e-09
158,6.0706932424469055e-09
159,5.691601581578681e-09
160,5.334550151468248e-09
161,4.998383444782333e-09
162,4.681996974526479e-09
163,4.384335747266466e-09
164,4.1043927237138224e-09
165,3.841207272857954e-09
166,3.593863625274133e-09
167,3.3614893307764528e-09
168,3.1432537251023498e-09
169,2.9383664098589694e-09
170,2.7460757495585387e-09
171,2.5656673891368243e-09
172,2.396462794988854e-09
173,2.2378178221886225e-09
174,2.0891213102120616e-09
175,1.9497937091914784e-09
176,1.8192857383952494e-09
177,1.6970770783880739e-09
178,1.5826750980477982e-09
179,1.4756136173806344e-09
180,1.375451706873056e-09
181,1.2817725238906763e-09
182,1.1941821864768915e-09
183,1.1123086847192585e-09
184,1.0358008297007178e-09
185,9.64327239925491e-10
186,8.975753649656316e-10
187,8.352505459818661e-10
188,7.770751126611051e-10
189,7.227875160266185e-10
190,6.721414965075504e-10
191,6.249052865738306e-10
192,5.808608471981507e-10
193,5.398031373494509e-10
194,5.015394156820515e-10
195,4.658885735566674e-10
196,4.326804984928359e-10
197,4.017554671413561e-10
198,3.748002968924884e-10
199,3.568239926081653e-10
200,3.395919617041932e-10
201,3.2308069529817424e-10
202,3.072669785750397e-10
203,2.9212791759311007e-10
204,2.776409637091453e-10
205,2.637839357017176e-10
206,2.505350396717024e-10
207,2.3787288680454156e-10
208,2.2577650907870832e-10
209,2.1422537300639323e-10
210,2.0319939149506038e-10
211,1.9267893391627236e-10
212,1.826448344711651e-10
213,1.7307839893991295e-10
214,1.639614099026483e-10
215,1.5527613051875333e-10
216,1.4700530694937658e-10
217,1.3913216950786234e-10
218,1.3164043262023076e-10
219,1.2451429367640821e-10
220,1.1773843085116457e-10
221,1.1129799997082025e-10
222,1.0517863050045505e-10
223,9.936642072319891e-11
224,9.384793218097351e-11
225,8.861018344367254e-11
226,8.364064327055288e-11
227,7.892722322564416e-11
228,7.445826980572168e-11
229,7.022255613684775e-11
230,6.620927329293474e-11
231,6.240802128658693e-11
232,5.880879978036139e-11
233,5.671360507444633e-11
234,5.4986048417917006e-11
235,5.3290776036743744e-11
236,5.1628144170198636e-11
237,4.9998454404013314e-11
238,4.84019551374274e-11
239,4.6838843113143284e-11
240,4.530926500355913e-11
241,4.381331904658216e-11
242,4.2351056724645375e-11
243,4.092248448053239e-11
244,3.9527565463821e-11
245,3.816622130197913e-11
246,3.683833389019206e-11
247,3.554374719437553e-11
248,3.428226906189554e-11
249,3.3053673034809084e-11
250,3.1857700160650596e-11
251,3.0694060796023766e-11
252,2.956243639850718e-11
253,2.8462481302626798e-11
254,2.7393824475899753e-11
255,2.6356071251211266e-11
256,2.5348805032036715e-11
257,2.4371588967280207e-11
258,2.3423967592751385e-11
259,2.250546843655615e-11
260,2.16156035859263e-11
261,2.075387121325449e-11
262,1.991975705934488e-11
263,1.9112735872122803e-11
264,1.833227279927455e-11
265,1.7577824733512496e-11
266,1.6848841609371794e-11
267,1.6144767650656345e-11
268,1.5465042567844908e-11
269,1.4809102704963676e-11
270,1.4176382135608424e-11
271,1.3566313707974738e-11
272,1.2978330038916682e-11
273,1.2411864457207554e-11
274,1.186635189632204e-11
275,1.1341229737192517e-11
276,1.083593860151913e-11
277,1.0349923096328707e-11
278,9.882632510584327e-12
279,9.433521464746193e-12
280,9.002050514271853e-12
281,8.587686708126468e-12
282,8.189904103437836e-12
283,7.808184237516102e-12
284,7.442016558471665e-12
285,7.090898815763876e-12
286,6.754337412012641e-12
287,6.431847717457947e-12
288,6.122954348473747e-12
289,5.8271914115623766e-12
290,5.544102714270471e-12
291,5.273241944473885e-12
292,5.01417281948387e-12
293,4.766469206422263e-12
294,4.52971521530762e-12
295,4.303505266282453e-12
296,4.087444132395719e-12
297,3.881146959335681e-12
298,3.684239263486538e-12
299,3.4963569096543203e-12
300,3.3171460697816318e-12
301,3.1462631639378687e-12
302,2.9833747848396357e-12
303,2.8281576071202566e-12
304,2.6802982825313987e-12
305,2.539493322220821e-12
306,2.4054489671919864e-12
307,2.2778810480106995e-12
308,2.156514834782749e-12
309,2.0410848783861293e-12
310,1.931334843898692e-12
311,1.8270173371212423e-12
312,1.7278937250535464e-12
313,1.6337339511395687e-12
314,1.544316346056862e-12
315,1.4594274347841509e-12
316,1.3788617406408658e-12
317,1.3024215869528502e-12
318,1.2299168969593934e-12
319,1.1611649925390398e-12
320,1.0959903922942242e-12
321,1.0342246094987755e-12
322,9.757059503773127e-13
323,9.20279313151477e-13
324,8.677959882550432e-13
325,8.181134600883471e-13
326,7.710952106518427e-13
327,7.266105253693249e-13
328,6.84534301383192e-13
329,6.447468585771923e-13
330,6.071337535565991e-13
331,5.715855967909908e-13
332,5.379978731018483e-13
333,5.062707656548986e-13
334,4.763089835964095e-13
335,4.4802159345278513e-13
336,4.21321854394302e-13
337,3.9612705744628125e-13
338,3.7235836871472735e-13
339,3.499406766778979e-13
340,3.288024435811859e-13
341,3.088755609592403e-13
342,2.900952092968625e-13
343,2.723997218289099e-13
344,2.55730452468703e-13
345,2.400316478448674e-13
346,2.2525032341759575e-13
347,2.1133614363720734e-13
348,1.9824130610055026e-13
349,1.8592042965409297e-13
350,1.7433044638664745e-13
351,1.6343049744922806e-13
352,1.5318183263491275e-13
353,1.4354771364734464e-13
354,1.3449332098288633e-13
355,1.2598566434836973e-13
356,1.1799349653367138e-13
357,1.1048723065616407e-13
358,1.0343886069231016e-13
359,9.682188521031979e-14
