Регион,Конфигурация,Джини,Top10%
Москва,Все 5,0.175,17.8
Москва,Без distance_to_city,0.813,69.7
Москва,Без регрессии,0.509,31.7
Москва,Только регрессия,0.954,94.7
Москва,Только baseline,0.018,10.2
Краснодар,Все 5,0.073,14.6
Краснодар,Без distance_to_city,0.887,82.1
Краснодар,Без регрессии,0.767,61.9
Краснодар,Только регрессия,0.981,100.0
Краснодар,Только baseline,0.014,10.1
Якутия,Все 5,0.043,13.1
Якутия,Без distance_to_city,0.842,75.4
Якутия,Без регрессии,0.828,73.6
Якутия,Только регрессия,0.997,100.0
Якутия,Только baseline,0.005,10.0
