Регион,Метод,Джини,Top-10%,Сумма,Ячеек
Московская область,Baseline (равномерный),0.018,10.2%,209.0,141967
Московская область,v1 (затухание по расстояниям),0.349,29.5%,209.0,141967
Московская область,v2 (дасиметрия WorldPop),0.91,62.1%,209.0,48815
Московская область,v3 (регрессия x WorldPop),0.993,99.1%,209.0,48815
Краснодарский край,Baseline (равномерный),0.014,10.1%,59.7,185691
Краснодарский край,v1 (затухание по расстояниям),0.303,26.9%,59.7,185691
Краснодарский край,v2 (дасиметрия WorldPop),0.969,56.1%,59.7,20429
Краснодарский край,v3 (регрессия x WorldPop),0.996,96.4%,59.7,20429
Якутия (центр),Baseline (равномерный),0.005,10.1%,11.2,160801
Якутия (центр),v1 (затухание по расстояниям),0.331,29.7%,11.2,160801
Якутия (центр),v2 (дасиметрия WorldPop),0.995,61.2%,11.2,3061
Якутия (центр),v3 (регрессия x WorldPop),0.999,96.6%,11.2,3061
